,name,tp,tpr,base,std_tp,std_tpr,std_b,bceinv,std_bceinv,failures,pf1,std_pf1,PFD0.5,std_PFD0.5,GD0.5,std_GD0.5,PFD1,std_PFD1,GD1,std_GD1,PFD5,std_PFD5,GD5,std_GD5,PFD10,std_PFD10,GD10,std_GD10,PFD20,std_PFD20,GD20,std_GD20
0,mu_284,0.151,0.177,0.288,0.043,0.045,0.054,0.295,0.052,16.43,0.293,0.056,0.29898078529657496,0.05734034445686261,0.29447994987468684,0.056662883748425985,0.2977819548872182,0.057227924413634244,0.29271720969089393,0.05600798344950156,0.2909711779448622,0.057502036856671254,0.2888659147869676,0.0578790731621566,0.28992063492063497,0.05909524905515215,0.2888659147869676,0.05785255742250394,0.28886382623224743,0.05811864027161878,0.2882832080200503,0.05868657777484455
1,phishing,0.115,0.097,0.156,0.017,0.016,0.019,0.155,0.019,9.2,0.156,0.019,0.15842666666666672,0.019221635957662107,0.15647999999999998,0.019020942843788444,0.15631999999999996,0.019363305502935205,0.15597333333333327,0.018928619131416396,0.15359999999999996,0.01985547783358538,0.1544533333333333,0.018766134983587396,0.15461333333333338,0.01941538450702319,0.1548266666666666,0.0191251132168036,0.15437333333333333,0.019360973345596263,0.15501333333333328,0.018874669680700534
2,obesity,0.09,0.017,0.174,0.013,0.005,0.015,0.149,0.02,1.5,0.175,0.015,0.19726601159998355,0.015345340420699556,0.17467151430950967,0.015128333291376752,0.19559215563249047,0.01511133140238217,0.1748924219167237,0.014917722975185732,0.19526107432429915,0.015175958774780484,0.1817451887704988,0.015221672244861524,0.18975078335368745,0.014902636012584888,0.18424041768904123,0.01497117128514201,0.1865299018893856,0.014950025238898526,0.18480906337415362,0.015190043657245998
3,diabetes,0.254,0.226,0.309,0.029,0.028,0.026,0.312,0.028,22.0,0.309,0.027,0.3119251336898396,0.022918286647974895,0.3097077214724273,0.026179269346143865,0.30979430155900733,0.023172450818223028,0.30892595422007174,0.026482590536947664,0.3078878420054892,0.02564469254185892,0.3103157626687038,0.026189345537317627,0.31100812041988507,0.02626966088148989,0.31070509011685477,0.02566342725201247,0.31140197493138666,0.025381855531515715,0.3104037574625809,0.0251188688673661
4,wm,0.273,0.273,0.327,0.02,0.02,0.021,0.321,0.019,26.51,0.326,0.02,0.3268390661693604,0.019475845939910724,0.32620767140949475,0.020580609789682968,0.32529815352028374,0.019939312180596195,0.32654054427407103,0.020737546485745,0.3266807109637609,0.020903031164226663,0.32689109913892334,0.021142086944732016,0.3263132108486439,0.020771996793839537,0.32685605746650065,0.020856638240673367,0.32683869779435454,0.020949803357932176,0.3268384675599758,0.020844253329381605
5,magictelescope,0.27,0.209,0.262,0.006,0.006,0.005,0.258,0.005,20.88,0.262,0.005,0.29151945320715034,0.004521477799105752,0.26271293375394333,0.005514683225668168,0.28497195934104463,0.004315674923864478,0.26251139151770064,0.005293524176037828,0.269050122677883,0.0040540183315707105,0.26182790045566073,0.00443789280993882,0.2675797406239047,0.0039126395496863,0.26305117420259394,0.004255010113807363,0.2662828601472135,0.003971766034079126,0.2639870311952329,0.004068043732522805
6,phoneme,0.282,0.25,0.304,0.007,0.01,0.012,0.258,0.009,24.93,0.304,0.012,0.2952074096915295,0.003210741025461133,0.2967926359909091,0.01139465705162205,0.29096967257112194,0.0040367827212768265,0.3038244423887347,0.012275289817800612,0.28230940715615405,0.007808635700347315,0.2953555692602872,0.011660472470436386,0.2814148936170213,0.008417083921727974,0.29195673302040875,0.011312168922663617,0.28332093055127283,0.010213849875434871,0.28975457680930994,0.01116046255611358
7,mozilla4,0.153,0.15,0.281,0.006,0.006,0.007,0.256,0.006,14.97,0.28,0.006,0.2757435402594615,0.006028721866544315,0.2821335906507989,0.00663421955755945,0.28214002358743445,0.005743564976839817,0.28024016296772813,0.006496805984675346,0.28864372252599985,0.006057888456191937,0.2846424359386726,0.006345099548595852,0.2878631928808835,0.006245076935531469,0.28491261927736683,0.006612931272172181,0.2870826632357672,0.0061699911365819815,0.2853329044708908,0.006544623893369409
