,Dataset,tpd_01,tpd_10,tpd_11,tpd_00,gd_01,gd_10,gd_11,gd_00,pfd_01,pfd_10,pfd_11,pfd_00,lenTest
0,phoneme,7.18,1.72,67.88,23.240000000000002,9.84,8.959999999999999,60.6,20.6,0.0,0.0,69.58,30.419999999999998,1080.8
0,mozilla4,6.459999999999999,4.08,67.86,21.580000000000002,5.48,5.040000000000001,66.96000000000001,22.56,0.08,0.0,71.96000000000001,27.940000000000005,3109.0
