,Dataset,tpr,tp,base,stdtpr,stdtp,stdbase,TPD,PFD,GD,stdTPD,stdPFD,stdGD,LG_tpd,LG_pfd,LG_gd
0,phoneme,0.25,0.282,0.304,0.006,0.013,0.008,0.249,0.304,0.296,0.006,0.008,0.002,100.336,-0.0,38.987
0,mozilla4,0.15,0.153,0.28,0.006,0.003,0.004,0.257,0.28,0.276,0.008,0.004,0.007,18.155,0.592,3.499
