,T,b,name,err_TPD,std_TPD
24,20.0,0,diabetes,0.3056330815154345,0.028746563692628485
25,20.0,1,diabetes,0.29344452932688236,0.03177032138684088
26,20.0,2,diabetes,0.29713153948448073,0.032667089728432894
27,20.0,5,diabetes,0.36021446962623443,0.04066431589797766
28,20.0,10,diabetes,0.4109014514896866,0.03661044548768863
29,20.0,20,diabetes,0.6813473672297202,0.0292277779872177
0,0.5,0,wm,0.3202401805037528,0.01945947141423915
1,0.5,1,wm,0.3249664778744762,0.01899425427295928
2,0.5,2,wm,0.3332648155822627,0.01991640279969206
3,0.5,5,wm,0.41845300916332834,0.025096699868468443
4,0.5,10,wm,0.6505915181654924,0.026975899900637944
5,0.5,20,wm,0.6699930008748909,0.023290646625367714
6,1.0,0,wm,0.31952180319565315,0.018607203369426017
7,1.0,1,wm,0.3249833770778653,0.018616998133865446
8,1.0,2,wm,0.33345664686651016,0.019451561457960273
9,1.0,5,wm,0.41845374591334006,0.023884294249475583
10,1.0,10,wm,0.6513284063176312,0.02853336363914606
11,1.0,20,wm,0.6700809504075149,0.023099808157745597
12,5.0,0,wm,0.31971520007367493,0.01948844984436772
13,5.0,1,wm,0.32451084403923197,0.019262499683877294
14,5.0,2,wm,0.33326472348851105,0.020484701381540085
15,5.0,5,wm,0.418469309757333,0.02341183337890786
16,5.0,10,wm,0.6490866602201041,0.028197144920387454
17,5.0,20,wm,0.6699232398581756,0.02241010650926386
18,10.0,0,wm,0.32003020675047195,0.01891608138956271
19,10.0,1,wm,0.32461564672836946,0.01872972311136061
20,10.0,2,wm,0.33377165354330707,0.0195298423012155
21,10.0,5,wm,0.41832987981765446,0.024341562328115532
22,10.0,10,wm,0.6503474236773035,0.02661530532440386
23,10.0,20,wm,0.669799926324999,0.02257741901853532
24,20.0,0,wm,0.3197666804807295,0.018774518153328357
25,20.0,1,wm,0.3241260302988442,0.019203300725893747
26,20.0,2,wm,0.3328097803564027,0.0203982842180806
27,20.0,5,wm,0.41784049362250786,0.023776388610048056
28,20.0,10,wm,0.6513458580835291,0.02677525627155169
29,20.0,20,wm,0.6700459087350922,0.022864154279255717
0,0.5,0,magictelescope,0.25753592709428685,0.00509371806674333
1,0.5,1,magictelescope,0.2546600070101646,0.005215913827687685
2,0.5,2,magictelescope,0.25491412548194875,0.005305247563850071
3,0.5,5,magictelescope,0.2632386961093585,0.006783440161789475
4,0.5,10,magictelescope,0.4905380301437081,0.011256533829819115
5,0.5,20,magictelescope,0.5856028741675433,0.011692447949679614
6,1.0,0,magictelescope,0.2576410795653699,0.0049278516349937984
7,1.0,1,magictelescope,0.2546862951279355,0.005140811240638012
8,1.0,2,magictelescope,0.2548843322818086,0.005336705459868074
9,1.0,5,magictelescope,0.2628373641780583,0.007029006618516327
10,1.0,10,magictelescope,0.4905608131791093,0.0109493864425044
11,1.0,20,magictelescope,0.5864721345951631,0.010705741637574682
12,5.0,0,magictelescope,0.25759200841219765,0.004911393408296548
13,5.0,1,magictelescope,0.25474763406940065,0.005057552388048467
14,5.0,2,magictelescope,0.2549947423764457,0.005347203908964762
15,5.0,5,magictelescope,0.2627252015422362,0.006629478778560723
16,5.0,10,magictelescope,0.49150893796004225,0.011037827308360464
